"","vessel_id","value"
"83","dd8ffcc2e-e5c4-5d01-3bd5-b9f74051de2d","EPERVA66"
"84","8d3861191-1903-0d1f-8b86-52f9f905b35f","EPERVA65"
"85","9594835bc-cc0f-6bd3-1a71-c5fb4070662e","TORNADO"
"86","dd224fd6d-de37-5e1c-128c-fb4b27557cfd","CORPESCA2"
"87","d0b21e5a6-66b3-c5bf-7a90-71a546ea8ef2","DONGINO"
"88","da4a0e82c-c129-f78a-ed82-330c72d498ab","DONERNESTOAYALAMARFIL"
"89","f2108d424-4179-25bb-5545-65d72f546466","EPERVA51"
"90","514e0ae1f-fccb-b46c-4dfb-fbab1a78f6ca","EPERVA61"
"91","8bf99968b-b23e-13a6-c1d9-2255f9cd7f98","INTREPIDO"
"92","9b7412c6b-bcb1-fcf7-7fe2-8d59b41b62a7","TORNADO"
"93","2223a49aa-ae05-b562-4c89-f81c581599c6","PARINAI"
"94","fc138524b-bf20-c106-8b22-243e529a3d27","EPERVA65"
"95","567adcbf2-2398-c6f7-de52-b91bdb10b8bb","AUDAZ"
"96","ba7d5366f-f7f7-15b9-b935-08ee99a1fbc4","FOCHE"
"97","01728d550-01b2-0622-2af6-c4fd5a91fd7b","ANGAMOS1"
"98","69a0ed23e-e1b1-a680-65ed-53d180592698","ANGAMOS2"
"99","e5f246286-635c-bf1d-d9bf-e157e0692c29","BLANQUILLO"
"100","247b53b3a-a265-f0c5-04e9-16dea4f0caf7","EPERVA56"
"101","952a59991-1321-4816-a6f2-f5fc5a5275ba","CONYI"
"102","4a1f32f58-8821-1df0-0873-bff99c0b45de","ANGAMOS2"
"103","7fdda6bcf-f256-daec-5445-5b1f2b037236","ANGAMOS4"
"104","8c746b5e9-9e78-f03b-2640-1f2a20579099","ELENAS"
