RPI
1960
951
903
591
1989
1951
752
409
57
287
1961
1961
390
2501
281
1133
752
504
405
598
1758
24
600
348
2535
1083
1867
191
337
417
1216
102
404
42
158
1703
1758
281
1021
24
504
2501
449
405
437
614
614
436
436
82
1989
636
437
1021
404
2535
1703
1960
1960
636
102
409
24
287
764
1216
82
409
574
1992
600
1703
1083
1021
437
597
1992
574
57
597
348
24
348
348
404
1758
1758
78
78
504
390
636
1133
348
337
337
752
1867
24
417
903
504
951
597
191
1960
903
288
1083
436
158
2501
82
1867
449
277
277
277
277
21138
21138
405
78
277
32036
574
598
591
1758
1989
32025
32025
745
191
449
449
288
102
1021
436
436
1992
1951
597
42
2501
158
597
574
405
598
1083
437
600
32036
32036
405
436
437
1021
597
614
1216
2535
281
78
191
32036
287
82
1989
591
951
745
24
417
1951
2501
1992
158
42
1758
449
348
1960
598
591
337
752
1961
2535
1989
288
288
82
1133
57
404
636
903
390
1083
1216
287
1896
1896
409
409
21138
417
417
102
1867
1867
951
951
78
1951
281
600
1703
191
158
404
1133
614
614
288
1896
42
281
390
57
951
1896
2501
