"","LatBin","LonBin","hours"
"149",-19.37,-71.74,3.66666666666667
"150",-19.35,-71.74,2.81083334444444
"151",-19.32,-71.74,0.149722222222222
"152",-19.22,-71.74,7.853889
"153",-19.94,-71.73,0.8380556
"154",-19.87,-71.73,1.196389
"155",-19.51,-71.73,0.4
"156",-19.5,-71.73,3.6
"157",-19.43,-71.73,2.111667
"158",-19.41,-71.73,2.016944
"159",-19.4,-71.73,1.066667
"160",-19.39,-71.73,6.953611
"161",-19.37,-71.73,2.395833
"162",-19.34,-71.73,2.01972244444444
"163",-19.33,-71.73,0.4666667
"164",-20.41,-71.72,2.576667
"165",-20.38,-71.72,3.194722
"166",-19.95,-71.72,1.883056
"167",-19.72,-71.72,2.4025
"168",-19.51,-71.72,2.93
"169",-19.42,-71.72,0.8
"170",-19.41,-71.72,2.3
"171",-19.35,-71.72,1.858889
"172",-19.3,-71.72,0.1475
"173",-20.4,-71.71,3.23444444444444
"174",-20.06,-71.71,0.7941667
"175",-19.49,-71.71,0.6666667
"176",-19.42,-71.71,3.066667
"177",-19.39,-71.71,3.333333
"178",-19.36,-71.71,0.399999966666667
"179",-19.34,-71.71,16.80722
"180",-19.32,-71.71,3.3583337
"181",-19.3,-71.71,1.99611111111112
"182",-19.91,-71.7,2.6
"183",-19.81,-71.7,0.2280556
"184",-19.43,-71.7,0.7941667
"185",-19.35,-71.7,3.359444
"186",-19.32,-71.7,9.99777803333333
"187",-20.38,-71.69,2.553889
"188",-20.04,-71.69,0.1497222
"189",-19.96,-71.69,0.149444444444444
"190",-19.9,-71.69,0.2641667
"191",-19.88,-71.69,0.2680556
"192",-19.84,-71.69,1.06611111111111
"193",-19.72,-71.69,1.980833
"194",-19.5,-71.69,8.271944
"195",-19.44,-71.69,1.193611
"196",-19.4,-71.69,1.066667
"197",-19.39,-71.69,14.866389
"198",-19.36,-71.69,5.2163887
"199",-19.33,-71.69,2.55
"201",-19.31,-71.69,0.2816667
"202",-21,-71.68,0.266666666666667
"203",-19.86,-71.68,1.07944444444444
"204",-19.68,-71.68,1.4352778
"205",-19.57,-71.68,6.4
"206",-19.52,-71.68,2.655833
"207",-19.39,-71.68,0.2505555
