"","ssvid","imo","shipname","n_shipname"
"134","306010000","949629000","MERO","MERO"
"135","636014716","9453638","MARLIN","MARLIN"
"136","702049292","0","PUCARA","PUCARA"
"137","701006662","7723909","TORNADO","TORNADO"
"138","636018687","9260067","TORNADO      ,","TORNADO"
"139","725001536",NA,"ALERCE N","ALERCE"
"140","770576191","0","HURACAN","HURACAN"
"141","345040017","9223801","HALCON","HALCON"
"142","725000027","0","AUDAZ","AUDAZ"
"143","211675490","0","MARLIN","MARLIN"
"144","273318680","0","TORNADO","TORNADO"
"145","258265950",NA,"MARLIN","MARLIN"
"146","636018877","9250323","ALERCE ^  $","ALERCE"
"147","345991385",NA,"MARLIN","MARLIN"
"148","701006045","0","HURACAN","HURACAN"
"149","725010191","0","MERO","MERO"
"150","232002662","0","TORNADO","TORNADO"
"151","367623440","0","MARLIN","MARLIN"
"152","636018687","9260067","TORNADO","TORNADO"
"153","261005440","0","TORNADO","TORNADO"
"154","636018877","9250323","ALERCE N","ALERCE"
"155","188130624","9250323","ALERCE .","ALERCE"
"156","999999999","0","INTREPIDO","INTREPIDO"
"157","636014716","9453638","MARLIN","MARLIN"
"158","770576299","0","BANDURRIA","BANDURRIA"
"159","244710731","0","TORNADO","TORNADO"
"160","725001850","0","TORNADO","TORNADO"
"161","211606420","0","SY MARLIN","MARLIN"
"162","760112018","0","HALCON 0  #","HALCON"
"163","319813000","0","HURACAN","HURACAN"
"164","244730754","0","TORNADO","TORNADO"
"165","235114576","0","TORNADO","TORNADO"
"166","725000197","8903753","HURACAN            &","HURACAN"
"167","306010000","949629000","MERO","MERO"
"168","566353048","9431301","M$ER'O","MERO"
"169","770576299","0","BANDURRIA","BANDURRIA"
"170","636358463","0","HURACAN","HURACAN"
"171","352832000","9250323","ALERCE","ALERCE"
"172","538006236","9183647","MARLIN","MARLIN"
"173","725019300","0","ALBIMER","ALBIMER"
"174","636014716","9453638","MARLIN  ,","MARLIN"
"175","725000192","0","SALMON","SALMON"
"176","725000030","0","RELAMPAGO","RELAMPAGO"
"177","258138240",NA,"S/Y MERO","MERO"
"178","725000197","8904201","HURACAN           !","HURACAN"
"179","760112018","0","HALCON","HALCON"
"180","272843402","8404575","TORNADO","TORNADO"
"181","725000197","8903753","HURACAN","HURACAN"
"182","273420190",NA,"MARLIN","MARLIN"
"183","725000030","0","RELAMPAGO","RELAMPAGO"
"184","257134720",NA,"TORNADO","TORNADO"
"185","224419140",NA,"INTREPIDO","INTREPIDO"
"186","725000193","0","BLANQUILLO","BLANQUILLO"
"187","224062000","1","AUDAZ","AUDAZ"
"188","273415310","8227680","MARLIN","MARLIN"
"189","770576299","0","BANDURRIA          *","BANDURRIA"
"190","636018877","9250323","ALERCE N","ALERCE"
"191","770576185","0","HURACAN","HURACAN"
"192","293800000","8392082","INTREPIDO 0","INTREPIDO"
"193","273356213","0","MARLIN","MARLIN"
"194","538006236","10223775","MARLIN","MARLIN"
"195","244710731","0","TORNADO","TORNADO"
"196","636018877","9250323","ALERCE N","ALERCE"
"197","304108000","9213715","MARLIN","MARLIN"
"198","636018687","9260067","TORNADO","TORNADO"
"199","247299900","0","INTREPIDO","INTREPIDO"
"200","800333345","0","MERO","MERO"
"201","205242990","0","MARLIN","MARLIN"
"202","272593000","8897526","TORNADO","TORNADO"
"203","244014613",NA,"TORNADO","TORNADO"
"204","205518410","0","SALMON","SALMON"
"205","701000844","0","PUCARA","PUCARA"
"206","701000844","0","** PUCARA **","PUCARA"
"207","636018687","9260067","TORNADO","TORNADO"
"208","211561180","0","MARLIN","MARLIN"
"209","538006236","9183647","MARLIN           *""*","MARLIN"
"210","247299900","0","INTREPIDO @@","INTREPIDO"
"211","725001850","0","TORNADO        #  ""","TORNADO"
"212","725001850","0","TORNADO   #","TORNADO"
"213","258260000","7042291","TORNADO","TORNADO"
"214","701006150","7722821","TORNADO","TORNADO"
"215","725000027","0","AUDAZ0","AUDAZ"
"216","273367690","8404575","TORNADO          ,","TORNADO"
"217","272593000","8897526","TORNADO","TORNADO"
"218","211597070","0","SALMON","SALMON"
"219","800190112","0","SALMON","SALMON"
"220","636018877","9250323","ALERCE N","ALERCE"
"221","258121620",NA,"MARLIN","MARLIN"
"222","244710731","0","TORNADO","TORNADO"
"223","725000028","0","AVENTURERO","AVENTURERO"
"224","375763000","9750115","HURACAN","HURACAN"
"225","265740920",NA,"MARLIN","MARLIN"
"226","244710731","0","TORNADO","TORNADO"
"227","636018877","0","ALERCE N","ALERCE"
"228","725001850","0","TORNADO","TORNADO"
"229","235114576","0","TORNADO","TORNADO"
"230","725010191","0","MERO","MERO"
"231","235102779",NA,"MARLIN","MARLIN"
"232","272593000","8897526","TORNADO","TORNADO"
"233","636018687","9260067","TORNADO","TORNADO"
"234","877223356","0","HALCON","HALCON"
"235","235102779","0","MARLIN","MARLIN"
"236","701006150","7723845","TORNADO","TORNADO"
"237","211457740",NA,"MARLIN@@@@@@@@@@@@+","MARLIN"
"238","272859928",NA,"TORNADO","TORNADO"
"239","211744920",NA,"MARLIN","MARLIN"
"240","273415310","8227683","MARLIN","MARLIN"
"241","725019300","0","ALBIMER","ALBIMER"
"242","272593000","8897526","TORNADO","TORNADO"
"243","770576299","0","BANDURRIA     #","BANDURRIA"
"244","725000030","0","RELAMPAGO","RELAMPAGO"
"245","265665100","0","MARLIN","MARLIN"
"246","725000192","0","SALMON","SALMON"
"247","273333290","7700192","TORNADO","TORNADO"
"248","235092066","0","TORNADO","TORNADO"
"249","636018687","9260067","TORNADO","TORNADO"
"250","352832000","9250323","ALERCE","ALERCE"
"251","725000029","0","INTREPIDO@@@@@@@@@@(","INTREPIDO"
"252","257669080",NA,"MERO","MERO"
"253","636018687","9260067","TORNADO","TORNADO"
"254","770576299","0","BANDURRIA !","BANDURRIA"
"255","244810243",NA,"MARLIN","MARLIN"
"256","211675490",NA,"MARLIN           ,","MARLIN"
"257","725000027","0","AUDAZ","AUDAZ"
"258","244710731","0","TORNADO","TORNADO"
"259","244710731","0","TORNADO","TORNADO"
"260","272593000","8897526","TORNADO","TORNADO"
"261","636018687","9260067","TORNADO","TORNADO"
"262","293800000","8408466","INTREPIDO","INTREPIDO"
"263","725001536","9250317","ALERCE N","ALERCE"
"264","370482000","0","SALMON","SALMON"
"265","636014716","9453638","MARLIN","MARLIN"
"266","725019300","0","ALBIMER","ALBIMER"
"267","247299900","0","INTREPIDO","INTREPIDO"
"268","265748270","0","SALMON","SALMON"
"269","565621000","9416020","HURACAN","HURACAN"
"270","235088086",NA,"MARLIN","MARLIN"
"271","235114576","0","TORNADO","TORNADO"
"272","845409485","529747148","INTREPIDO","INTREPIDO"
"273","725000027","0","AUDAZ","AUDAZ"
"274","258265950",NA,"S/Y MARLIN","MARLIN"
"275","224062000","1","AUDAZ","AUDAZ"
"276","273318680",NA,"TORNADO@@@@@@@@@@@@^","TORNADO"
"277","211457740","0","MARLIN","MARLIN"
"278","636014716","12320902","MARLIN","MARLIN"
"279","244710731","0","TORNADO","TORNADO"
"280","636018687","9260067","TORNADO","TORNADO"
"281","273355510","0","MARLIN","MARLIN"
"282","244810243","0","MARLIN","MARLIN"
"283","725000029","0","INTREPIDO","INTREPIDO"
"284","205518410",NA,"SALMON","SALMON"
"285","273422200","8728529","TORNADO","TORNADO"
"286","636018687","9260067","TORNADO","TORNADO"
"287","244710731","0","TORNADO","TORNADO"
"288","257113020",NA,"TORNADO","TORNADO"
"289","277093000","268435510","TORNADO","TORNADO"
"290","263062009","0","TORNADO","TORNADO"
"291","770576299","0","BANDURRIA","BANDURRIA"
"292","265748270","0","SALMON","SALMON"
"293","725000834","0","CORPESCA 2","CORPESCA2"
"294","352832000","9250317","ALERCE","ALERCE"
"295","725000029","0","INTREPIDO","INTREPIDO"
"296","273333290","813006560","TORNADO           ,","TORNADO"
"297","293800000","8408466","INTREPIDO","INTREPIDO"
"298","725000029","0","INTREPIDO","INTREPIDO"
"299","375763000","9750100","HURACAN","HURACAN"
"300","224973270",NA,"POLUX-","POLUX"
"301","244710731","0","TORNADO","TORNADO"
