"","LatBin","LonBin","FishingHours"
"184",-19.29,-72.4,0
"185",-19.28,-72.4,1.46666666666666
"186",-19.26,-72.4,0
"187",-19.53,-72.39,0
"188",-19.48,-72.39,0
"189",-19.45,-72.39,0
"190",-19.37,-72.39,0
"191",-19.31,-72.39,0.000277777777777778
"192",-19.3,-72.39,0
"193",-19.28,-72.39,0.399999999999999
"194",-19.27,-72.39,0
"195",-19.24,-72.39,0
"196",-19.46,-72.38,0
"197",-19.45,-72.38,0
"198",-19.31,-72.38,0
"199",-19.27,-72.38,0
"200",-19.23,-72.38,0
"201",-19.53,-72.37,0
"202",-19.38,-72.37,0
"203",-19.34,-72.37,0
"204",-19.33,-72.37,0
"205",-19.3,-72.37,0
"206",-19.29,-72.37,0
"207",-19.25,-72.37,0
"208",-19.49,-72.36,0
"209",-19.48,-72.36,0
"210",-19.45,-72.36,0
"211",-19.36,-72.36,0
"212",-19.32,-72.36,0
"213",-19.31,-72.36,0
"214",-19.3,-72.36,0
"215",-19.28,-72.36,0
"216",-19.27,-72.36,0
"217",-19.26,-72.36,0
"218",-19.25,-72.36,0
"219",-19.23,-72.36,0
"220",-19.4,-72.35,0
"221",-19.36,-72.35,0
"222",-19.35,-72.35,0
"223",-19.33,-72.35,0
"224",-19.31,-72.35,0
"225",-19.26,-72.35,0
"226",-19.25,-72.35,0
"227",-19.24,-72.35,0
"228",-19.23,-72.35,0
"229",-19.53,-72.34,0
"230",-19.5,-72.34,0
"231",-19.42,-72.34,0
"232",-19.38,-72.34,0
"233",-19.35,-72.34,0
"234",-19.34,-72.34,0
"235",-19.32,-72.34,0
"236",-19.31,-72.34,0.0666666666666667
"237",-19.3,-72.34,0
"238",-19.52,-72.33,0
"239",-19.49,-72.33,0
"240",-19.45,-72.33,0
"241",-19.37,-72.33,0
"242",-19.36,-72.33,0
"243",-19.34,-72.33,0
"244",-19.32,-72.33,0
"245",-19.24,-72.33,0
"246",-19.23,-72.33,0
"247",-19.53,-72.32,0
"248",-19.44,-72.32,0
"249",-19.4,-72.32,0
"250",-19.37,-72.32,0
"251",-19.33,-72.32,0
"252",-19.29,-72.32,0
"253",-19.25,-72.32,0
"254",-19.55,-72.31,0
"255",-19.49,-72.31,0
"256",-19.46,-72.31,0
"257",-19.45,-72.31,0
"258",-19.39,-72.31,0
"259",-19.37,-72.31,0
"260",-19.35,-72.31,0
"261",-19.34,-72.31,0
"262",-19.31,-72.31,0
"263",-19.23,-72.31,0
"264",-19.22,-72.31,0
"265",-19.55,-72.3,0
"266",-19.53,-72.3,0
"267",-19.42,-72.3,0
"268",-19.41,-72.3,0
"269",-19.39,-72.3,0
"270",-19.37,-72.3,0
"271",-19.26,-72.3,0
"272",-19.48,-72.29,0
"273",-19.41,-72.29,0
"274",-19.37,-72.29,0
"275",-19.25,-72.29,0
