,MMSI,imo,shipname,n_shipname
149,345010014,7723649,INTREPIDO,INTREPIDO
150,338031604,0,TORNADO,TORNADO
151,677058600,8708517,INTREPIDO,INTREPIDO
152,338166819,0,MARLIN,MARLIN
153,725019301,0,ALBIMER,ALBIMER
154,256955490,0,TORNADO,TORNADO
155,227704450,NA,GRINGO,GRINGO
156,247120130,0,TORNADO,TORNADO
157,225920740,0,HALCON,HALCON
158,345990753,0,MARLIN,MARLIN
159,211348710,NA,MARLIN,MARLIN
160,207261222,0,TORNADO,TORNADO
161,273415630,8227680,MARLIN,MARLIN
162,227913780,NA,GRINGO,GRINGO
163,503763200,0,TORNADO,TORNADO
164,247156780,0,INTREPIDO,INTREPIDO
165,281756298,8404575,TORNADO,TORNADO
166,257113532,NA,TORNADO,TORNADO
167,257811700,0,TORNADO,TORNADO
168,247141620,0,INTREPIDO,INTREPIDO
169,271041703,NA,TORNADO,TORNADO
170,725017252,0,ALBIMER,ALBIMER
171,247120160,0,TORNADO,TORNADO
172,257983600,0,TORNADO,TORNADO
173,903925884,9453574,MARLIN      ! (,MARLIN
174,701006201,0,SAN JORGE I  *,SANJORGEI
175,725000061,0,INTREPIDO,INTREPIDO
176,235052369,0,TORNADO,TORNADO
177,181190451,322161868,INTREPIDO,INTREPIDO
178,218123456,0,MARLIN,MARLIN
179,725019324,0,ALBIMER,ALBIMER
180,723953274,0,TORNADO,TORNADO
181,368123870,NA,MERO,MERO
182,225987936,NA,INTREPIDO,INTREPIDO
183,999004321,1234567,TORNADO,TORNADO
184,244710864,75497472,TORNADO,TORNADO
185,227413480,0,MARLIN,MARLIN
186,235103966,NA,MERO,MERO
187,211194730,NA,SV MARLIN,MARLIN
188,265576150,NA,MARLIN,MARLIN
189,212732543,0,HURACAN,HURACAN
190,227086380,NA,HURACAN,HURACAN
191,735059671,NA,MARLIN,MARLIN
192,724968512,9250323,ALERCE N,ALERCE
193,411839265,388744540,INTREPIDO,INTREPIDO
194,227632120,0,GRINGO,GRINGO
195,730151060,0,INTREPIDO,INTREPIDO
196,710000840,9283435,MARLIN,MARLIN
197,502140775,9119385,HURACAN,HURACAN
198,244850635,NA,MARLIN,MARLIN
199,293798084,19858,INTREPIDO,INTREPIDO
200,229000658,NA,INTREPIDO,INTREPIDO
201,486929849,9710720,PO\LUX,POLUX
202,257002590,9769292,AUDAZ,AUDAZ
203,240027600,NA,MARLIN,MARLIN
204,273411940,NA,MARLIN,MARLIN
205,224241730,0,MERO,MERO
206,710074009,8708517,INTREPIDO,INTREPIDO
207,244234493,NA,TORNADO,TORNADO
208,725019319,0,ALBIMER,ALBIMER
209,341205000,8420610,MARLIN,MARLIN
210,235113636,0,MARLIN,MARLIN
211,226453835,0,TORNADO,TORNADO
212,293931072,8408466,INTREPIDO,INTREPIDO
213,224393420,0,TORNADO,TORNADO
214,188130938,0,TORNADO,TORNADO
215,677080900,NA,MV MARLIN,MARLIN
216,724993344,9250323,ALERCE N,ALERCE
217,371223000,8404575,TORNADO,TORNADO
218,770314047,0,HURACAN,HURACAN
219,788720698,NA,SALMON,SALMON
220,667005041,8321682,MERO ^,MERO
221,770574143,0,HURACAN,HURACAN
222,356007000,9223801,HALCON,HALCON
223,293799936,8408466,INTREPIDO,INTREPIDO
224,273397560,NA,MARLIN,MARLIN
225,840418399,51113161,INTREPIDO,INTREPIDO
226,645147000,940596626,INTREPIDO,INTREPIDO
227,247052820,NA,MARLIN,MARLIN
228,934529604,923165950,INTREPIDO,INTREPIDO
229,257978210,0,MARLIN,MARLIN
230,366920930,7734143,MARLIN,MARLIN
231,890429158,462800634,INTREPIDO,INTREPIDO
232,538006225,315367839,MARLIN,MARLIN
233,244700850,0,MARLIN,MARLIN
234,233705279,0,HURACAN,HURACAN
235,512006256,NA,MARLIN,MARLIN
236,724853519,138420292,MERO,MERO
237,367721860,NA,MERO,MERO
238,244710728,3407872,TORNADO,TORNADO
239,768476735,0,HURACAN,HURACAN
240,238937940,NA,SV MARLIN,MARLIN
241,275512783,8227680,MARLIN,MARLIN
242,677061000,NA,MV MARLIN,MARLIN
