"","Embarcacion","Horas"
"2","AVENTURERO (IND)",493.177777777778
"8","CORPESCA 2 (IND)",483.982777777778
"1","AUDAZ (IND)",483.526111111111
"7","HURACAN (IND)",463.541111111111
"9","MERO (IND)",434.990277777778
"3","INTREPIDO (IND)",434.621111111111
"6","BLANQUILLO (IND)",332.996111111111
"5","SALMON (IND)",198.807222222222
"4","RELAMPAGO (IND)",121.315277777778
