"","LatBin","LonBin","fishing_hours_sq_km","Log_fishing_hours_sq_km"
"137",-19.28,-72.5,0.229292212461789,-0.639610695127477
"138",-19.27,-72.5,0.0604243637073996,-1.21878791418999
"139",-19.48,-72.49,0,-Inf
"140",-19.29,-72.49,0,-Inf
"141",-19.17,-72.49,0,-Inf
"142",-19.12,-72.49,0,-Inf
"143",-19.54,-72.48,0,-Inf
"144",-19.44,-72.48,0,-Inf
"145",-19.29,-72.48,0,-Inf
"146",-19.27,-72.48,0,-Inf
"147",-19.16,-72.48,0,-Inf
"148",-19.48,-72.47,0,-Inf
"149",-19.29,-72.47,0,-Inf
"150",-19.27,-72.47,0,-Inf
"151",-19.54,-72.46,0,-Inf
"152",-19.44,-72.46,0,-Inf
"153",-19.14,-72.46,0,-Inf
"154",-19.27,-72.45,0,-Inf
"155",-19.12,-72.45,0,-Inf
"156",-19.48,-72.44,0,-Inf
"157",-19.35,-72.44,0,-Inf
"158",-19.34,-72.44,0,-Inf
"159",-19.31,-72.44,0,-Inf
"160",-19.53,-72.43,0,-Inf
"161",-19.45,-72.43,0,-Inf
"162",-19.36,-72.43,0,-Inf
"163",-19.29,-72.43,0,-Inf
"164",-19.27,-72.43,0.0236443162333303,-1.62627324076826
"165",-19.26,-72.43,0,-Inf
"166",-19.38,-72.42,0,-Inf
"167",-19.32,-72.42,0,-Inf
"168",-19.29,-72.42,0,-Inf
"169",-19.27,-72.42,0,-Inf
"170",-19.25,-72.42,0,-Inf
"171",-19.53,-72.41,0,-Inf
"172",-19.48,-72.41,0,-Inf
"173",-19.45,-72.41,0,-Inf
"174",-19.4,-72.41,0,-Inf
"175",-19.39,-72.41,0,-Inf
"176",-19.31,-72.41,0,-Inf
"177",-19.28,-72.41,0,-Inf
"178",-19.26,-72.41,0,-Inf
"179",-19.25,-72.41,0,-Inf
"180",-19.43,-72.4,0,-Inf
"181",-19.42,-72.4,0,-Inf
"182",-19.32,-72.4,0,-Inf
"183",-19.31,-72.4,1.47538366187694,0.168904969853026
"184",-19.29,-72.4,0,-Inf
"185",-19.28,-72.4,1.26110716853983,0.100751994366763
"186",-19.26,-72.4,0,-Inf
"187",-19.53,-72.39,0,-Inf
"188",-19.48,-72.39,0,-Inf
"189",-19.45,-72.39,0,-Inf
"190",-19.37,-72.39,0,-Inf
"191",-19.31,-72.39,0.000238889841625152,-3.62180231747465
"192",-19.3,-72.39,0,-Inf
"193",-19.28,-72.39,0.343938318692683,-0.463519436071797
"194",-19.27,-72.39,0,-Inf
"195",-19.24,-72.39,0,-Inf
"196",-19.46,-72.38,0,-Inf
"197",-19.45,-72.38,0,-Inf
"198",-19.31,-72.38,0,-Inf
"199",-19.27,-72.38,0,-Inf
"200",-19.23,-72.38,0,-Inf
"201",-19.53,-72.37,0,-Inf
"202",-19.38,-72.37,0,-Inf
"203",-19.34,-72.37,0,-Inf
"204",-19.33,-72.37,0,-Inf
"205",-19.3,-72.37,0,-Inf
"206",-19.29,-72.37,0,-Inf
