"","Embarcacion","Horas"
"24","EPERVA 56 (IND)",243.168626668702
"32","ICALMA (IND)",238.753729104881
"29","EPERVA 66 (IND)",235.139998852968
"31","HURACAN (IND)",212.010470718724
"4","ANGAMOS 2 (IND)",209.330688139119
"26","EPERVA 62 (IND)",209.061595299035
"45","TORNADO (IND)",197.330856073078
"16","CLAUDIA ALEJANDRA (IND)",191.747412614751
"13","BARRACUDA IV (IND)",189.309945863381
"7","ANGAMOS 9 (IND)",184.926994440332
"1","ALBIMER (IND)",184.074596074864
"18","CORPESCA 2 (IND)",183.189871967829
"20","DON ERNESTO AYALA MARFIL (IND)",177.904054401593
"5","ANGAMOS 3 (IND)",177.664265931013
"8","ATACAMA IV (IND)",170.704356055568
"39","MERO (IND)",164.952797104378
"11","AVENTURERO (IND)",162.804883611416
"37","LOA 7 (IND)",160.853955896677
"28","EPERVA 65 (IND)",160.807146691659
"41","PUCARA (IND)",158.630613265087
"10","AUDAZ (IND)",154.385050756723
"6","ANGAMOS 4 (IND)",153.623110491623
"25","EPERVA 61 (IND)",153.497451359885
"19","COSTA GRANDE 1 (IND)",152.797656361267
"40","PARINA I (IND)",150.152135040904
"35","LOA 1 (IND)",146.399416756369
"43","SALMON (IND)",146.004933682461
"33","INTREPIDO (IND)",145.260177785008
"17","COLLEN (IND)",144.419015391885
"14","BLANQUILLO (IND)",143.655667729542
"27","EPERVA 64 (IND)",142.869394773816
"42","RELAMPAGO (IND)",142.558496686034
"23","EPERVA 51 (IND)",142.210908806792
"9","ATACAMA V (IND)",138.737826204155
"46","TRUENO I (IND)",137.448478398404
"34","LICANTEN (IND)",131.846420000971
"36","LOA 2 (IND)",131.083462473
"38","MARLIN (IND)",128.237129775968
"3","ANGAMOS 1 (IND)",120.156357784316
"22","EPERVA 49 (IND)",116.337762567496
"12","BANDURRIA (IND)",101.60632656673
"21","DON GINO (IND)",94.0589426034211
"2","ALERCE (IND)",83.3566208691628
"44","SAN JORGE I (IND)",79.3176903838558
"30","HALCON (IND)",68.5567365146867
"15","CAMIÑA (IND)",31.9366131691007
