"","LatBin","LonBin","fishing_hours_sq_km","Log_fishing_hours_sq_km"
"1",-19.43,-72.97,0.114751586866842,-0.940241300015121
"2",-19.42,-72.96,0.114744524312535,-0.940268030127007
"3",-19.43,-72.95,0.114751586866842,-0.940241300015121
"4",-19.41,-72.94,0.114737466122413,-0.940294745365248
"5",-19.43,-72.93,0.114751586866842,-0.940241300015121
"6",-19.4,-72.92,0.114730412295241,-0.940321445731671
"7",-19.43,-72.9,0.114751586866842,-0.940241300015121
"8",-19.39,-72.9,0.114723362829784,-0.940348131228108
"9",-19.48,-72.89,0.114786965144451,-0.940107426286879
"10",-19.43,-72.88,0.114751586866842,-0.940241300015121
"11",-19.38,-72.88,0.114716317724809,-0.940374801856385
"12",-19.48,-72.87,0.114786965144451,-0.940107426286879
"13",-19.46,-72.87,0.229545601454479,-0.639131024755291
"14",-19.37,-72.86,0.114709276979084,-0.940401457618326
"15",-19.43,-72.85,0.114751586866842,-0.940241300015121
"16",-19.55,-72.84,0.114836678375878,-0.939919377860396
"17",-19.48,-72.84,0.114786965144451,-0.940107426286879
"18",-19.43,-72.84,0.114751586866842,-0.940241300015121
"19",-19.43,-72.83,0.114751586866842,-0.940241300015121
"20",-19.36,-72.83,0.114702240591376,-0.940428098515762
"21",-19.56,-72.82,0.114843797777428,-0.939892454224044
"22",-19.54,-72.82,0.114829563354657,-0.939946286599204
"23",-19.48,-72.82,0.114786965144451,-0.940107426286879
"24",-19.41,-72.82,0.114737466122413,-0.940294745365248
"25",-19.52,-72.81,0.114815346448213,-0.940000059391569
"26",-19.35,-72.81,0.114695208560456,-0.94045472455051
"27",-19.56,-72.8,0.114843797777428,-0.939892454224044
"28",-19.5,-72.8,0.114801147048129,-0.940053772615883
"29",-19.43,-72.8,0.114751586866842,-0.940241300015121
"30",-19.4,-72.8,0.129071713832146,-0.88916892328429
"31",-19.48,-72.79,0.229573930288902,-0.639077430622898
"32",-19.33,-72.79,0.114681157564061,-0.940507932039235
"33",-19.43,-72.78,0.114751586866842,-0.940241300015121
"34",-19.38,-72.78,0.114716317724809,-0.940374801856385
"35",-19.56,-72.77,0.114843797777428,-0.939892454224044
"36",-19.48,-72.77,0.114786965144451,-0.940107426286879
"37",-19.46,-72.77,0.114772800727239,-0.940161020419274
"38",-19.32,-72.77,0.11467413859613,-0.940534513496852
"39",-19.45,-72.76,0.114765725072956,-0.940187795163089
"40",-19.37,-72.76,0.114709276979084,-0.940401457618326
"41",-19.56,-72.75,0.114843797777428,-0.939892454224044
"42",-19.43,-72.75,0.114751586866842,-0.940241300015121
"43",-19.31,-72.75,0.114667123980072,-0.940561080099071
"44",-19.48,-72.74,0.114786965144451,-0.940107426286879
"45",-19.43,-72.74,0.114751586866842,-0.940241300015121
"46",-19.35,-72.74,0.114695208560456,-0.94045472455051
"47",-19.43,-72.73,0.114751586866842,-0.940241300015121
"48",-19.34,-72.73,0.114688180885094,-0.940481335724393
"49",-19.29,-72.73,0.229306215597359,-0.639584173080574
"50",-19.56,-72.72,0.114843797777428,-0.939892454224044
"51",-19.48,-72.72,0.114786965144451,-0.940107426286879
"52",-19.42,-72.72,0.114744524312535,-0.940268030127007
"53",-19.4,-72.71,0.114730412295241,-0.940321445731671
"54",-19.32,-72.71,0.22934827719226,-0.639504517832871
