"","Embarcacion","Horas"
"7","HURACAN (IND)",175.855555555556
"2","AVENTURERO (IND)",169.406944444444
"8","CORPESCA 2 (IND)",167.339722222222
"1","AUDAZ (IND)",161.763055555556
"9","MERO (IND)",151.820833333333
"5","SALMON (IND)",145.516388888889
"3","INTREPIDO (IND)",134.852777777778
"6","BLANQUILLO (IND)",130.831666666667
"4","RELAMPAGO (IND)",27.675
"10","INTREPIDO (IND)",16
