field_1,n_shipname,lat_bin,lon_bin,fishing_hours,total_hours,fishing_hours_sq_km,total_hours_sq_km
"624405",ANGAMOS4,-19.54,-70.35,0,0.6727778,0,0.5794108
"624422",ANGAMOS2,-19.4,-70.33,0.1166667,0.2166667,0.1003891,0.1864369
"624447",EPERVA51,-19.41,-70.34,0,0.5333333,0,0.4589499
"624452",EPERVA51,-19.4,-70.44,0,0.5327778,0,0.4584436
"624453",EPERVA51,-19.36,-70.45,0,0.4569444,0,0.3930941
"624455",EPERVA51,-19.45,-70.34,0,0.4102778,0,0.3531437
"624457",EPERVA51,-19.39,-70.36,0,0.1933333,0,0.1663489
"624458",EPERVA51,-19.63,-70.3,0,0.9208333,0,0.793485
"624460",EPERVA51,-19.32,-70.45,0.2022222,0.5388889,0.1739224,0.4634746
"624462",EPERVA51,-19.65,-70.3,0,0.2472222,0,0.2130587
"624463",EPERVA51,-19.79,-70.27,0,0.2116667,0,0.1825764
"624526",ATACAMAV,-19.37,-70.44,0.1333333,0.1333333,0.1147093,0.1147093
"624629",HALCON,-19.78,-70.28,0,0.4180556,0,0.3605777
"624634",HALCON,-19.72,-70.33,0,0.2541667,0,0.2191393
"624738",BARRACUDAIV,-19.32,-70.33,0,0.1,0,0.0860056
"624739",BARRACUDAIV,-19.74,-70.3,0.1333333,0.8675,0.1149727,0.7480411
"624766",ICALMA,-19.48,-70.3,0.3833333,0.6747222,0.3300125,0.5808699
"624771",CLAUDIAALEJANDRA,-19.66,-70.34,0,0.4,0,0.3447457
"624782",EPERVA62,-19.54,-70.32,0,0.4166667,0,0.3588424
"624783",EPERVA62,-19.57,-70.32,0,0.3913889,0,0.3371353
"624784",EPERVA62,-19.8,-70.25,0,0.2833333,0,0.244409
"624793",MERO,-19.33,-70.42,0,0.6525,0,0.5612209
"624833",AVENTURERO,-19.7,-70.38,0.04472222,0.4155556,0.03855411,0.3582419
"624865",AVENTURERO,-19.62,-70.32,0,0.5858333,0,0.504783
"624871",AVENTURERO,-19.5,-70.43,0,0.1202778,0,0.1035602
"624872",AVENTURERO,-19.8,-70.31,0,0.4333333,0,0.3738019
"624874",AVENTURERO,-19.77,-70.34,0,0.3377778,0,0.2913189
"624876",AVENTURERO,-19.72,-70.34,0,0.4791667,0,0.4131314
"624877",AVENTURERO,-19.67,-70.37,0,0.365,0,0.3146001
"624878",AVENTURERO,-19.66,-70.32,0,0.185,0,0.1594449
"624888",EPERVA66,-19.61,-70.31,0,0.2630556,0,0.2266476
"624897",COSTAGRANDE1,-19.82,-70.26,0,0.4,0,0.3450913
"624899",COSTAGRANDE1,-19.81,-70.25,0,0.7833333,0,0.6757614
"624902",ALERCE,-19.73,-70.3,0,0.2,0,0.1724482
"624903",ALERCE,-19.69,-70.23,0,0.2666667,0,0.2298735
"624906",AVENTURERO,-19.6,-70.35,0,0.09972222,0,0.08591492
"624923",AVENTURERO,-19.84,-70.32,0,0.07472222,0,0.06447309
"624940",CAMINA,-19.38,-70.33,0,0.1466667,0,0.1261879
"624951",CAMINA,-19.75,-70.2,0,0.1369444,0,0.1180939
"624952",CAMINA,-19.73,-70.27,0,0.1222222,0,0.105385
"624953",CAMINA,-19.48,-70.33,0,0.1452778,0,0.12507
"624954",CAMINA,-19.35,-70.35,0,0.1391667,0,0.1197131
"624963",CAMINA,-19.65,-70.28,0,0.1297222,0,0.111796
"624969",CAMINA,-19.43,-70.3,0,0.13,0,0.1118828
"624970",CAMINA,-19.72,-70.21,0,0.2491667,0,0.2148283
"625026",SANJORGEI,-19.38,-70.36,0,0.2333333,0,0.2007536
"625027",SANJORGEI,-19.53,-70.34,0,0.2666667,0,0.2296449
"625046",PUCARA,-19.56,-70.37,0,0.1430556,0,0.1232178
"625079",EPERVA65,-19.81,-70.25,0,0.525,0,0.4529039
"625188",LICANTEN,-19.72,-70.23,0,0.25,0,0.2155468
"625216",ATACAMAIV,-19.69,-70.28,0,0.1333333,0,0.1149367
"625219",ATACAMAIV,-19.8,-70.2,0.4,0.9333333,0.3450479,0.8051119
"625222",ATACAMAIV,-19.45,-70.3,0,0.4,0,0.3442972
"625228",ATACAMAIV,-19.81,-70.24,0,0.5333333,0,0.4600928
"625235",ATACAMAIV,-19.52,-70.32,0,0.8,0,0.6888921
"625236",ATACAMAIV,-19.54,-70.32,0,0.2666667,0,0.2296591
"625239",ATACAMAIV,-19.57,-70.32,0,0.2666667,0,0.2297018
