field_1,n_shipname,lat_bin,lon_bin,fishing_hours,total_hours,fishing_hours_sq_km,total_hours_sq_km
"116",EPERVA49,-19.59,-70.3,0,0.533333333333333,0,0.459460729106189
"532",CORPESCAI,-19.35,-70.32,0,0.116666666666667,0,0.1003583074904
"674",ALBIMER,-19.35,-70.34,0,0.133333333333333,0,0.114695208560457
"934",SANJORGEI,-19.45,-70.31,0,0.0197222222222222,0,0.0169757635003748
"968",EPERVA49,-19.42,-70.29,0,0.133333333333333,0,0.114744524312535
"969",EPERVA49,-19.56,-70.28,0,0.2,0,0.172265696666143
"973",EPERVA49,-19.52,-70.29,0,0.133333333333333,0,0.114815346448214
"1034",EPERVA62,-19.47,-70.3,0,0.947777777777778,0,0.815893652335924
"1071",BLANQUILLO,-19.56,-70.3,0,0.470833333333333,0,0.405542160901545
"1151",EPERVA51,-19.59,-70.28,0,0.328611111111111,0,0.283094813819074
"1391",BARRACUDAIV,-19.35,-70.32,0,0.218888888888889,0,0.188291300720083
"2290",MERO,-19.57,-70.32,0,0.21,0,0.180890201457878
"2663",LOA7,-19.53,-70.28,0,0.233333333333333,0,0.200939292246906
"2664",LOA7,-19.55,-70.29,0,0.533333333333333,0,0.459346713503512
"2888",HALCON,-19.46,-70.31,0.536111111111111,0.586111111111111,0.461482302924108,0.504522103196823
"2906",MARLIN,-19.49,-70.29,0,0.738888888888889,0,0.636150382083815
"3021",PUCARA,-19.47,-70.3,0.3175,0.474722222222222,0.273319591037503,0.408664200422654
"3113",MARLIN,-19.47,-70.29,0,0.25,0,0.215212276407483
"3265",EPERVA51,-19.53,-70.29,0.187777777777778,1.99277777777778,0.161708287570129,1.71611724116584
"3462",ANGAMOS3,-19.37,-70.33,2.11472222222222,2.26722222222222,1.81933692842035,1.95053566396517
"3724",ANGAMOS4,-19.32,-70.36,0,0.725555555555556,0,0.624018437527273
"4387",MARLIN,-19.58,-70.28,0,0.427777777777778,0,0.36850290953923
"4497",CLAUDIAALEJANDRA,-19.52,-70.29,0,0.666666666666667,0,0.574076732241068
"4600",EPERVA56,-19.34,-70.36,1.17166666666667,1.98138888888889,1.00782238952777,1.70431415469454
"4920",ATACAMAIV,-19.46,-70.3,0,0.266666666666667,0,0.229545601454479
"4952",ATACAMAIV,-19.45,-70.31,0,0.133333333333333,0,0.114765725072956
"5054",ICALMA,-19.39,-70.33,0.569444444444444,0.970833333333333,0.489964362085537,0.835329485604367
"5132",TORNADO,-19.41,-70.32,0,0.423611111111111,0,0.364530491326418
"5489",LICANTEN,-19.56,-70.31,0,0.266666666666667,0,0.229687595554857
"5772",ALERCE,-19.35,-70.35,0,0.133333333333333,0,0.114695208560457
"5912",TORNADO,-19.38,-70.33,0,0.198055555555556,0,0.170401530287061
"6807",LOA7,-19.46,-70.29,0,0.318333333333333,0,0.274020061736284
"6808",LOA7,-19.35,-70.31,0,0.215,0,0.184946023803736
