"","Embarcacion","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ALBIMER (IND)",31,99
"2","ALERCE (IND)",3,14
"3","ANGAMOS 1 (IND)",10,30
"4","ANGAMOS 2 (IND)",8,31
"5","ANGAMOS 3 (IND)",5,25
"6","ANGAMOS 4 (IND)",6,17
"7","ANGAMOS 9 (IND)",4,14
"8","ATACAMA IV (IND)",29,77
"9","ATACAMA V (IND)",12,58
"10","AUDAZ (IND)",4,11
"11","AVENTURERO (IND)",14,37
"12","BANDURRIA (IND)",7,20
"13","BARRACUDA IV (IND)",3,20
"14","BLANQUILLO (IND)",7,20
"15","CAMIÑA (IND)",0,9
"16","CLAUDIA ALEJANDRA (IND)",22,90
"17","COLLEN (IND)",15,65
"18","CORPESCA 2 (IND)",8,24
"19","CORPESCA I (IND)",16,37
"20","COSTA GRANDE 1 (IND)",24,81
"21","DON ERNESTO AYALA MARFIL (IND)",5,11
"22","DON GINO (IND)",8,19
"23","EPERVA 49 (IND)",8,21
"24","EPERVA 51 (IND)",4,22
"25","EPERVA 56 (IND)",12,34
"26","EPERVA 61 (IND)",5,13
"27","EPERVA 62 (IND)",9,30
"28","EPERVA 64 (IND)",7,20
"29","EPERVA 65 (IND)",12,37
"30","EPERVA 66 (IND)",12,51
"31","HALCON (IND)",3,21
"32","HURACAN (IND)",20,52
"33","ICALMA (IND)",10,31
"34","INTREPIDO (IND)",5,20
"35","LICANTEN (IND)",10,46
"36","LOA 1 (IND)",6,51
"37","LOA 2 (IND)",15,57
"38","LOA 7 (IND)",13,54
"39","MARLIN (IND)",3,32
"40","MERO (IND)",11,30
"41","PARINA I (IND)",9,18
"42","PUCARA (IND)",5,12
"43","RELAMPAGO (IND)",5,23
"44","SALMON (IND)",8,37
"45","SAN JORGE I   (IND)",8,21
"46","TORNADO (IND)",13,38
"47","TRUENO I (IND)",6,17
